datetime,predicted_consumption,day,hour,weekday,confidence_interval,lower_bound,upper_bound
2025-10-05 19:15:00+00:00,31789.988045992366,2025-10-05,19,Sunday,2617.308321433255,29172.67972455911,34407.296367425624
2025-10-05 19:30:00+00:00,31789.988045992366,2025-10-05,19,Sunday,2618.0646644158983,29171.923381576467,34408.052710408265
2025-10-05 19:45:00+00:00,31789.988045992366,2025-10-05,19,Sunday,2618.8203395456276,29171.167706446737,34408.808385537995
2025-10-05 20:00:00+00:00,30036.25103651435,2025-10-05,20,Sunday,2619.5753485884725,27416.675687925876,32655.826385102824
2025-10-05 20:15:00+00:00,30036.25103651435,2025-10-05,20,Sunday,2620.3296933026936,27415.921343211656,32656.580729817044
2025-10-05 20:30:00+00:00,30036.25103651435,2025-10-05,20,Sunday,2621.083375438828,27415.16766107552,32657.33441195318
2025-10-05 20:45:00+00:00,30036.25103651435,2025-10-05,20,Sunday,2621.8363967397413,27414.414639774608,32658.08743325409
2025-10-05 21:00:00+00:00,28614.649895700994,2025-10-05,21,Sunday,2622.588758940668,25992.061136760327,31237.23865464166
2025-10-05 21:15:00+00:00,28261.560371049167,2025-10-05,21,Sunday,2623.3404637692647,25638.2199072799,30884.900834818432
2025-10-05 21:30:00+00:00,28239.283387033032,2025-10-05,21,Sunday,2624.0915129456525,25615.19187408738,30863.374899978684
2025-10-05 21:45:00+00:00,28261.560371049167,2025-10-05,21,Sunday,2624.8419081824636,25636.718462866702,30886.402279231632
2025-10-05 22:00:00+00:00,25749.274501405554,2025-10-05,22,Sunday,2625.5916511848877,23123.682850220666,28374.866152590443
2025-10-05 22:15:00+00:00,25749.274501405554,2025-10-05,22,Sunday,2626.340743650717,23122.933757754836,28375.615245056273
2025-10-05 22:30:00+00:00,25711.653487323805,2025-10-05,22,Sunday,2627.0891872703896,23084.564300053415,28338.742674594196
2025-10-05 22:45:00+00:00,25711.653487323805,2025-10-05,22,Sunday,2627.836983727036,23083.81650359677,28339.49047105084
2025-10-05 23:00:00+00:00,25454.566828853625,2025-10-05,23,Sunday,2628.584134696523,22825.9826941571,28083.15096355015
2025-10-05 23:15:00+00:00,25454.566828853625,2025-10-05,23,Sunday,2629.3306418474954,22825.23618700613,28083.897470701122
2025-10-05 23:30:00+00:00,25454.566828853625,2025-10-05,23,Sunday,2630.0765068414225,22824.490322012203,28084.643335695047
2025-10-05 23:45:00+00:00,25454.566828853625,2025-10-05,23,Sunday,2630.821731332639,22823.745097520987,28085.388560186264
2025-10-06 00:00:00+00:00,25269.63033838396,2025-10-06,0,Monday,2631.5663169683885,22638.064021415572,27901.196655352345
2025-10-06 00:15:00+00:00,25269.63033838396,2025-10-06,0,Monday,2632.310265388866,22637.32007299509,27901.940603772826
2025-10-06 00:30:00+00:00,25269.63033838396,2025-10-06,0,Monday,2633.0535782272614,22636.5767601567,27902.68391661122
2025-10-06 00:45:00+00:00,25269.63033838396,2025-10-06,0,Monday,2633.7962571097974,22635.834081274163,27903.426595493755
2025-10-06 01:00:00+00:00,25165.881136587195,2025-10-06,1,Monday,2634.538303655777,22531.34283293142,27800.41944024297
2025-10-06 01:15:00+00:00,25165.881136587195,2025-10-06,1,Monday,2635.279719477618,22530.601417109578,27801.160856064813
2025-10-06 01:30:00+00:00,25165.881136587195,2025-10-06,1,Monday,2636.0205061808997,22529.860630406296,27801.901642768094
2025-10-06 01:45:00+00:00,25165.881136587195,2025-10-06,1,Monday,2636.7606653644,22529.120471222795,27802.641801951595
2025-10-06 02:00:00+00:00,25254.143215311793,2025-10-06,2,Monday,2637.500198620137,22616.643016691654,27891.64341393193
2025-10-06 02:15:00+00:00,25254.143215311793,2025-10-06,2,Monday,2638.239107533407,22615.904107778384,27892.382322845202
2025-10-06 02:30:00+00:00,25320.203993864572,2025-10-06,2,Monday,2638.9773936828283,22681.226600181744,27959.1813875474
2025-10-06 02:45:00+00:00,25320.203993864572,2025-10-06,2,Monday,2639.715058640376,22680.488935224195,27959.91905250495
